ID	Sentence	Detected as	Resolved as
library#01	All material that is stored in the repository will enter <referential>it</referential> via the Ingest function.	NOCUOUS	
library#02-1	The Library may want to accept important digital materials in non-standard formats in case <referential>we</referential> are able to migrate them to a more usable format in the future.	NOCUOUS
library#02-2	The Library may want to accept important digital materials in non-standard formats in case we are able to migrate <referential>them</referential> to a more usable format in the future.	INNOCUOUS	digital materials
library#03	Once material has arrived, <referential>it</referential> must undergo several reviews, including virus checking, format compliance and anticipated content and file type.	INNOCUOUS	material
library#04	Allows resources to be reviewed before a decision is made whether <referential>they</referential> should be retained.	INNOCUOUS	resources
library#05	Allows metadata to be stored in a database in a manner that conforms to repository reformatting and linked to <referential>their</referential> corresponding objects via an identifier.	INNOCUOUS	metadata
library#06	The Coordinate Updates function also incorporates the storage identification information into the Descriptive Information for the AIP and transfers <referential>it</referential> to the Data Management entity along with a database update request.	NOCUOUS	
library#07	Archival Storage functions include receiving AIPs from Ingest and adding <referential>them</referential> to permanent storage, managing the storage hierarchy, refreshing the media on which archive holdings are stored, performing routine and special error checking, providing disaster recovery capabilities, and providing AIPs to Access to fulfill orders.	INNOCUOUS	APIs
library#08	<referential>It</referential> will also conform to any special levels of service required for the AIP, or any special security measures that are required, and ensures the appropriate level of protection for the AIP.	NOCUOUS	
library#09	<referential>It</referential> monitors error logs to ensure AIPs are not corrupted during transfers.	NOCUOUS	
library#10	However, the data constituting the Packaging Information may be changed as long as <referential>it</referential> continues to perform the same function and there is a straightforward implementation that does not cause information loss.	NOCUOUS	
library#11	The migration strategy must select a storage medium, taking into consideration the expected and actual rates of errors encountered in various media types, <referential>their</referential> performance, and <referential>their</referential> costs of ownership.	INNOCUOUS	media types
library#12	This function receives an AIP request that identifies the requested AIP(s) and provides <referential>them</referential> on the requested media type or transfers <referential>them</referential> to a staging area.	INNOCUOUS	the requested AIPs
library#13	The Generate Report function receives a report request from Ingest, Access or Administration and executes any queries or other processes necessary to generate the report that <referential>it</referential> supplies to the requester.	NOCUOUS	
library#14	<referential>It</referential> may also receive a report request from Access and provides descriptive information for a specific AIP.	NOCUOUS	
library#15	Administration functions include soliciting and negotiating submission agreements with producers, auditing submissions to ensure that <referential>they</referential> meet archive standards, and maintaining configuration management of system hardware and software.	NOCUOUS	
library#16	Audits data in SIPs or AIPs to ensure that <referential>they</referential> meet specified requirements.	NOCUOUS	
library#17	The Activate Requests function maintains a record of event-driven requests and periodically compares <referential>it</referential> to the contents of the archive to determine if all needed data is available.	NOCUOUS	
library#18	Maintains a record of event-driven events and compares <referential>it</referential> to the contents of the repository.	INNOCUOUS	record of event-driven events
library#19	The Monitor Designated Community function interacts with archive Consumers and Producers to track changes in <referential>their</referential> service requirements and available product technologies.	INNOCUOUS	archive Consumers and Producers
library#20	Interacts with repository users and content providers to track changes in <referential>their</referential> service requirements and available product technologies.	NOCUOUS	
library#21	This function receives reports from the Monitor Designated Communities and Monitor Technology functions, and <referential>it</referential> receives performance information, inventory reports and summarized consumer comments from Administration.	INNOCUOUS	this function
library#22	This function also receives external data standards from Monitor Technology and produces profiles of those standards that are sent to Administration as proposals on <referential>their</referential> potential usage.	NOCUOUS	
library#23	Produces profiles of those standards that are sent to Administration as proposals on <referential>their</referential> potential usage.	NOCUOUS	
library#24	The NLM will test preservation actions in order to determine <referential>their</referential> effectiveness across a range of digital objects.	NOCUOUS	
library#25	The NLM System Administration/Programming Access, ultimate rights to the system, required for <referential>its</referential> management, development, and for assigning appropriate rights to users.	NOCUOUS	
weather#01	The Clarus system shall process data as <referential>they</referential> are received.	INNOCUOUS	data
weather#02	The Clarus system shall be able to base <referential>its</referential> quality control process on values from multiple observations.	INNOCUOUS	The Clarus system
weather#03	The Clarus system shall be able to communicate with RWIS databases through <referential>their</referential> native interfaces.	INNOCUOUS	RWIS databases
weather#04	The Clarus system shall be able to collect data from sources within 5 minutes of <referential>them</referential> becoming available.	NOCUOUS	
weather#05	The CAS shall be configurable to allow new observation types to be implemented as <referential>they</referential> become available.	INNOCUOUS	new observation types
weather#06	The CS shall collect environmental data based on <referential>its</referential> configured schedule.	NOCUOUS	
weather#07	The CS shall be able to dynamically adjust <referential>its</referential> retrieval schedules when environmental data is expected to be ready but is temporarily delayed.	INNOCUOUS	CS
weather#08	The CS shall process environmental data as <referential>they</referential> are received.	INNOCUOUS	environmental data
weather#09	The Clarus system shall be able to communicate with environmental sensor stations through <referential>its</referential> collector using the NTCIP ESS 1204.	NOCUOUS	
weather#10	The CS shall be able to accept data from an RWIS database in <referential>its</referential> native output format.	NOCUOUS	
weather#11	The Clarus system shall be able to communicate with an individual ESS through <referential>its</referential> native interface.	NOCUOUS	
weather#12	The DOG shall be able to monitor new environmental data services as <referential>they</referential> are added.	INNOCUOUS	new environmental data services
